Date,Month,Day,Calories_Burned,Steps,Minutes_Sedentary,Minutes_Lightly_Active,Minutes_Fairly_Active,Minutes_Very_Active,Activity_Calories,Minutes_Asleep,Minutes_Awake,Number_Awakenings,Time_In_Bed,Minutes_REM_Sleep,Minutes_Light_Sleep,Minutes_Deep_Sleep
6/9/2019,Jun,Sun,"2,689","11,191","1,194",67,38,73,"1,128",371,36,2,426,N/A,N/A,N/A
6/10/2019,Jun,Mon,"2,726","10,312",783,176,25,35,"1,133",375,38,1,421,N/A,N/A,N/A
6/11/2019,Jun,Tue,"2,867","11,699",847,170,16,49,"1,279",337,72,38,409,55,219,63
6/12/2019,Jun,Wed,"2,748","10,147",712,156,5,44,"1,125",397,37,1,439,N/A,N/A,N/A
6/13/2019,Jun,Thu,"2,687","8,087",842,205,6,18,"1,052",321,80,26,401,51,241,29
6/14/2019,Jun,Fri,"2,970","13,152",670,163,26,53,"1,406",453,32,2,491,N/A,N/A,N/A
6/15/2019,Jun,Sat,"3,226","13,815",699,272,24,55,"1,829",366,82,32,448,41,253,72
6/16/2019,Jun,Sun,"2,927","11,346",574,232,44,36,"1,447",422,22,3,452,N/A,N/A,N/A
6/17/2019,Jun,Mon,"2,895","11,348",845,192,13,44,"1,322",345,76,35,421,74,196,75
6/18/2019,Jun,Tue,"2,620","11,116",825,106,17,71,"1,030",343,89,38,432,56,217,70
6/19/2019,Jun,Wed,"2,621","8,832",708,170,7,32,"1,000",349,7,1,362,N/A,N/A,N/A
6/20/2019,Jun,Thu,"2,812","12,032",954,135,18,62,"1,095",327,78,30,405,35,209,83
6/21/2019,Jun,Fri,"2,709","10,839",618,211,31,21,"1,208",520,23,1,553,N/A,N/A,N/A
6/22/2019,Jun,Sat,"3,790","25,717",553,138,57,184,"2,449",469,39,1,522,N/A,N/A,N/A
6/23/2019,Jun,Sun,"2,707","8,890",711,220,20,35,"1,186",272,7,1,303,N/A,N/A,N/A
6/24/2019,Jun,Mon,"2,618","8,015",812,193,13,22,"1,031",392,24,1,425,N/A,N/A,N/A
6/25/2019,Jun,Tue,"2,878","11,999",833,174,41,44,"1,341",325,116,34,441,27,226,72
6/26/2019,Jun,Wed,"2,573","8,299",763,213,13,10,"1,027",245,58,15,303,30,169,46
6/27/2019,Jun,Thu,"2,834","11,633",879,196,9,53,"1,313",286,55,25,341,39,185,62
6/28/2019,Jun,Fri,"2,608","9,097",886,152,24,37,"1,041",369,90,31,459,39,244,86
6/29/2019,Jun,Sat,"3,397","16,561",581,178,27,98,"1,935",398,98,49,496,54,258,86
6/30/2019,Jun,Sun,"2,785","10,579",678,239,7,20,"1,246",334,82,29,416,84,166,84
7/1/2019,Jul,Mon,"2,785","10,579",678,239,7,20,"1,246",287,67,23,354,50,179,58
7/2/2019,Jul,Tue,"2,583","8,197",790,215,8,11,"1,010",354,65,37,419,72,200,82
7/3/2019,Jul,Wed,"2,943","13,080",843,154,16,73,"1,404",372,85,39,457,53,258,61
7/4/2019,Jul,Thu,"2,799","11,312",756,200,19,46,"1,296",272,65,23,337,47,168,57
7/5/2019,Jul,Fri,"2,815","10,337",755,169,11,48,"1,212",352,83,28,435,22,289,41
7/6/2019,Jul,Sat,"3,217","19,525",743,223,51,86,"1,871",387,99,37,486,75,229,83
7/7/2019,Jul,Sun,"3,661","16,098",565,287,69,84,"2,406",377,72,37,449,49,282,46
7/8/2019,Jul,Mon,"2,784","9,449",655,248,18,33,"1,329",372,65,38,437,41,254,77
7/9/2019,Jul,Tue,"2,595","8,795",728,242,13,8,"1,086",368,87,37,455,72,253,43
7/10/2019,Jul,Wed,"2,747","11,093",777,181,4,41,"1,210",364,75,36,439,64,208,92
7/11/2019,Jul,Thu,"2,554","8,365",759,201,6,19,"1,005",313,82,24,395,21,248,44
7/12/2019,Jul,Fri,"2,863","12,194",754,165,31,51,"1,324",355,100,29,455,47,212,96
7/13/2019,Jul,Sat,"2,737","11,178",762,218,13,52,"1,287",366,89,36,455,73,232,61
7/14/2019,Jul,Sun,"2,969","11,699",713,190,24,58,"1,504",326,84,26,410,71,161,94
7/15/2019,Jul,Mon,"2,880","11,634",633,221,19,50,"1,377",363,92,33,455,5,284,74
7/16/2019,Jul,Tue,"2,822","11,050",797,171,15,47,"1,260",336,90,27,426,27,242,67
7/17/2019,Jul,Wed,"2,858","10,862",675,274,17,19,"1,365",282,52,26,334,59,178,45
7/18/2019,Jul,Thu,"2,741","9,967",783,184,3,44,"1,205",352,74,29,426,54,223,75
7/19/2019,Jul,Fri,"2,714","10,727",847,226,17,16,"1,201",330,97,34,427,38,200,92
7/20/2019,Jul,Sat,"2,722","10,525",661,159,20,45,"1,187",353,64,40,417,76,196,81
7/21/2019,Jul,Sun,"2,815","9,127",766,185,18,44,"1,247",340,82,28,422,76,208,56
7/22/2019,Jul,Mon,"2,792","9,660",722,252,16,33,"1,300",410,76,34,486,82,221,107
7/23/2019,Jul,Tue,"2,808","10,240",766,193,16,43,"1,280",362,83,34,445,60,250,52
7/24/2019,Jul,Wed,"2,666","8,652",720,189,15,30,"1,094",385,80,42,465,60,237,88
7/25/2019,Jul,Thu,"2,639","9,698",775,178,9,33,"1,072",399,83,35,482,53,277,69
7/26/2019,Jul,Fri,"2,733","10,630",736,171,14,54,"1,167",317,79,28,396,43,234,40
7/27/2019,Jul,Sat,"2,850","12,682",704,195,14,45,"1,338",315,89,23,404,58,179,78
7/28/2019,Jul,Sun,"2,933","12,165",807,183,26,28,"1,188",367,63,39,430,40,254,73
7/29/2019,Jul,Mon,"2,728","8,762",746,229,31,30,"1,263",418,70,38,488,79,246,93
7/30/2019,Jul,Tue,"2,486","8,583",625,185,14,22,987,369,63,1,432,N/A,N/A,N/A
7/31/2019,Jul,Wed,"2,614","10,607",587,95,0,0,400,389,88,37,477,43,253,93
8/1/2019,Aug,Thu,"2,510","8,488",759,168,12,24,946,403,92,53,495,41,283,79
8/2/2019,Aug,Fri,"2,740","10,632",703,181,12,49,"1,241",389,118,41,507,53,236,100
8/3/2019,Aug,Sat,"2,957","14,767",638,190,25,80,"1,532",360,71,29,431,56,216,88
8/4/2019,Aug,Sun,"3,002","10,316",700,219,50,40,"1,552",413,81,39,494,72,254,87
8/5/2019,Aug,Mon,"2,653","8,836",705,198,4,39,"1,145",339,98,37,437,28,246,65
8/6/2019,Aug,Tue,"2,559","8,573",786,176,16,25,988,376,97,32,473,49,258,69
8/7/2019,Aug,Wed,"2,623","9,095",740,168,23,36,"1,094",384,104,34,488,58,281,45
8/8/2019,Aug,Thu,"2,555","8,247",743,172,11,26,968,354,84,45,438,30,271,53
8/9/2019,Aug,Fri,"2,687","11,116",745,198,18,41,"1,215",398,65,34,463,74,274,50
8/10/2019,Aug,Sat,"3,037","14,164",547,247,25,50,"1,653",102,6,1,108,N/A,N/A,N/A
8/11/2019,Aug,Sun,"2,899","11,684",780,278,20,36,"1,490",275,51,30,326,48,186,41
8/12/2019,Aug,Mon,"2,591","9,059",789,178,17,24,"1,003",348,84,37,432,32,249,67
